Abbr,API call,LB Export,Retry Wrapper,Rate-Limit Wrapper,Direct CLI/Curl,Verification notes
GQL,github.graphql,Mixed,Mixed,Mixed,No,"Wrapped in reusable-16-agents.yml#L175; direct in agents-72-codex-belt-worker.yml#L1064."
PAG,github.paginate(...),Mixed,Mixed,Mixed,No,"Wrapped in reusable-70-orchestrator-main.yml#L414; direct in maint-post-ci.js#L98."
PAGIT,github.paginate.iterator(...),Mixed,Mixed,Mixed,No,"Direct iterator in issue_pr_locator.js#L134."
GHCLI,gh api,No,No,No,Yes,"Direct CLI usage in health-75-api-rate-diagnostic.yml#L97."
CURL,api.github.com,No,Mixed,Mixed,No,"Workflow curl removed; retry/backoff now in restore_branch_snapshots.py#L69."
RATE.GET,github.rest.rateLimit.get,Mixed,Mixed,Mixed,No,"With retry in health-41-repo-health.yml#L55 and selftest-reusable-ci.yml#L79."
ISS.GET,github.rest.issues.get,Yes,Mixed,Mixed,No,"Wrapped in agents-issue-optimizer.yml#L145; direct in agents-auto-pilot.yml#L229."
ISS.UPDATE,github.rest.issues.update,Yes,Mixed,Mixed,No,"Wrapped in agents-issue-optimizer.yml#L440; direct in agents-auto-pilot.yml#L672."
ISS.CREATE,github.rest.issues.create,Yes,Yes,Mixed,No,"Wrapped in agents-verify-to-issue-v2.yml#L343."
ISS.LIST,github.rest.issues.listForRepo,Yes,Yes,Mixed,No,"Wrapped in agents-issue-optimizer.yml#L260."
ISS.SEARCH,github.rest.search.issuesAndPullRequests,Yes,Yes,Mixed,No,"Wrapped in agents-63-issue-intake.yml#L1002."
ISS.LBL.LIST_REPO,github.rest.issues.listLabelsForRepo,Yes,Yes,Mixed,No,"Wrapped in agents-63-issue-intake.yml#L728."
ISS.LBL.LIST_ISSUE,github.rest.issues.listLabelsOnIssue,Yes,Mixed,Mixed,No,"Wrapped in reusable-70-orchestrator-main.yml#L414; direct in comment-dedupe.js#L39."
ISS.LBL.GET,github.rest.issues.getLabel,Yes,Yes,Mixed,No,"Wrapped in maint-62-integration-consumer.yml#L134."
ISS.LBL.CREATE,github.rest.issues.createLabel,Yes,Yes,Mixed,No,"Wrapped in agents-63-issue-intake.yml#L873."
ISS.LBL.UPDATE,github.rest.issues.updateLabel,Yes,Yes,Mixed,No,"Wrapped in maint-69-sync-labels.yml#L199."
ISS.LBL.ADD,github.rest.issues.addLabels,Yes,Mixed,Mixed,No,"Wrapped in agents-capability-check.yml#L132; direct in agents-auto-pilot.yml#L400."
ISS.LBL.REM,github.rest.issues.removeLabel,Yes,Mixed,Mixed,No,"Wrapped in agents-capability-check.yml#L141; direct in agents-auto-pilot.yml#L1670."
ISS.ASSIG.ADD,github.rest.issues.addAssignees,Yes,Yes,Mixed,No,"Wrapped in reusable-agents-issue-bridge.yml#L942."
ISS.CMT.LIST,github.rest.issues.listComments,Mixed,Mixed,Mixed,No,"Wrapped in agents-issue-optimizer.yml#L264; direct in selftest-reusable-ci.yml#L530."
ISS.CMT.GET,github.rest.issues.getComment,Yes,Yes,Mixed,No,"Wrapped in reusable-70-orchestrator-main.yml#L2073."
ISS.CMT.CREATE,github.rest.issues.createComment,Mixed,Mixed,Mixed,No,"Wrapped in agents-issue-optimizer.yml#L219; direct in selftest-reusable-ci.yml#L537."
ISS.CMT.UPDATE,github.rest.issues.updateComment,Mixed,Mixed,Mixed,No,"Wrapped in agents-capability-check.yml#L234; direct in selftest-reusable-ci.yml#L534."
ISS.CMT.DELETE,github.rest.issues.deleteComment,Yes,Yes,Mixed,No,"Wrapped in agents-moderate-connector.yml#L234."
ISS.EVENTS.LIST,github.rest.issues.listEvents,Mixed,Mixed,Mixed,No,"Direct iterator in issue_pr_locator.js#L134."
ISS.TIMELINE,github.rest.issues.listEventsForTimeline,Yes,Mixed,Mixed,No,"Direct in agents-auto-pilot.yml#L290."
ISS.PIN,github.rest.issues.pin,Yes,Yes,Mixed,No,"Wrapped in health-40-repo-selfcheck.yml#L1002."
PR.GET,github.rest.pulls.get,Yes,Mixed,Mixed,No,"Wrapped in agents-autofix-loop.yml#L105; direct in agents-auto-pilot.yml#L2173."
PR.LIST,github.rest.pulls.list,Yes,Mixed,Mixed,No,"Wrapped in maint-71-merge-sync-prs.yml#L124; direct in agents-auto-pilot.yml#L1367."
PR.LIST_FILES,github.rest.pulls.listFiles,Yes,Mixed,Mixed,No,"Wrapped in agents-73-codex-belt-conveyor.yml#L325; direct in autofix.yml#L129."
PR.LIST_COMMITS,github.rest.pulls.listCommits,Yes,Yes,Mixed,No,"Wrapped in agents-keepalive-loop.yml#L519."
PR.LIST_REVIEWS,github.rest.pulls.listReviews,Yes,Yes,Mixed,No,"Wrapped in agents-guard.yml#L249."
PR.LIST_REVIEW_CMT,github.rest.pulls.listReviewComments,Yes,Yes,Mixed,No,"Wrapped in reusable-bot-comment-handler.yml#L198."
PR.CREATE,github.rest.pulls.create,Yes,Mixed,Mixed,No,"Wrapped in agents-auto-pilot.yml#L1862."
PR.UPDATE,github.rest.pulls.update,Yes,Yes,Mixed,No,"Wrapped in maint-71-merge-sync-prs.yml#L153."
PR.MERGE,github.rest.pulls.merge,Yes,Yes,Mixed,No,"Wrapped in agents-73-codex-belt-conveyor.yml#L399."
PR.UPDATE_BRANCH,github.rest.pulls.updateBranch,Yes,Mixed,Mixed,No,"Used in keepalive_post_work.js#L744."
REPO.GET,github.rest.repos.get,Mixed,Mixed,Mixed,No,"Wrapped in agents-auto-pilot.yml#L1288; direct in maint-70-fix-integration-formatting.yml#L31."
REPO.GET_BRANCH,github.rest.repos.getBranch,Yes,Mixed,Mixed,No,"Wrapped in health-41-repo-health.yml#L365; direct in agents-auto-pilot.yml#L1530."
REPO.GET_BRANCH_PROT,github.rest.repos.getBranchProtection,Yes,Yes,Mixed,No,"Wrapped in health-41-repo-health.yml#L350."
REPO.LIST_BRANCHES,github.rest.repos.listBranches,Yes,Yes,Mixed,No,"Wrapped in health-41-repo-health.yml#L127."
REPO.GET_COMMIT,github.rest.repos.getCommit,Yes,Mixed,Mixed,No,"Wrapped in health-41-repo-health.yml#L144; direct in maint-post-ci.js#L401."
REPO.GET_CONTENT,github.rest.repos.getContent,Yes,Yes,Mixed,No,"Wrapped in agents-guard.yml#L186."
REPO.COMPARE,github.rest.repos.compareCommits,Yes,Mixed,Mixed,No,"Direct in agents-auto-pilot.yml#L1689."
REPO.COMBINED_STATUS,github.rest.repos.getCombinedStatusForRef,Yes,Yes,Mixed,No,"Wrapped in agents-73-codex-belt-conveyor.yml#L298."
REPO.CREATE_STATUS,github.rest.repos.createCommitStatus,Yes,Mixed,Mixed,No,"Wrapped in agents-guard.yml#L503; direct in maint-post-ci.js#L246."
REPO.DISPATCH,github.rest.repos.createDispatchEvent,Yes,Mixed,Mixed,No,"Used in keepalive_post_work.js#L374."
REPO.LIST_PR_ASSOC,github.rest.repos.listPullRequestsAssociatedWithCommit,Yes,Mixed,Mixed,No,"Used in keepalive_loop.js#L1138."
REPO.COLLAB,github.rest.repos.getCollaboratorPermissionLevel,Yes,Mixed,Mixed,No,"Used in prompt_injection_guard.js#L146."
REPO.DELETE_FILE,github.rest.repos.deleteFile,Yes,Yes,Mixed,No,"Wrapped in maint-72-fix-pr-body-conflicts.yml#L213."
REPO.PUT_FILE,github.rest.repos.createOrUpdateFileContents,Yes,Yes,Mixed,No,"Wrapped in maint-72-fix-pr-body-conflicts.yml#L237."
REPO.CREATE_ENV,github.rest.repos.createOrUpdateEnvironment,No,No,No,No,"Only in archived/maint-63-ensure-environments.yml#L57."
ACT.LIST_RUNS,github.rest.actions.listWorkflowRuns,Yes,Mixed,Mixed,No,"Wrapped in agents-autofix-loop.yml#L281; direct in agents_pr_meta_orchestrator.js#L67."
ACT.LIST_RUNS_REPO,github.rest.actions.listWorkflowRunsForRepo,Yes,Mixed,Mixed,No,"Direct in conflict_detector.js#L170."
ACT.LIST_JOBS,github.rest.actions.listJobsForWorkflowRun,Mixed,Mixed,Mixed,No,"Wrapped in agents-autofix-loop.yml#L264; direct in selftest-reusable-ci.yml#L281."
ACT.GET_RUN,github.rest.actions.getWorkflowRun,Yes,Mixed,Mixed,No,"Used in keepalive_loop.js#L403."
ACT.DOWNLOAD_LOGS,github.rest.actions.downloadJobLogsForWorkflowRun,Yes,Mixed,Mixed,No,"Used in keepalive_loop.js#L1567 and maint-post-ci.js#L676."
ACT.CREATE_DISPATCH,github.rest.actions.createWorkflowDispatch,Yes,Mixed,Mixed,No,"Wrapped in agents-73-codex-belt-conveyor.yml#L519; direct in agents-auto-pilot.yml#L1304."
ACT.LIST_ARTIFACTS,github.rest.actions.listWorkflowRunArtifacts,No,No,No,No,"Only in selftest-reusable-ci.yml#L274."
ACT.LIST_REPO_VARS,github.rest.actions.listRepoVariables,Yes,Mixed,Mixed,No,"Used in keepalive_loop.js#L356."
ACT.GET_ENV_VAR,github.rest.actions.getEnvironmentVariable,Mixed,Mixed,Mixed,No,"Used in maint-post-ci.js#L724."
ACT.UPDATE_ENV_VAR,github.rest.actions.updateEnvironmentVariable,Mixed,Mixed,Mixed,No,"Used in maint-post-ci.js#L733."
CHECKS.LIST_FOR_REF,github.rest.checks.listForRef,Yes,Yes,Mixed,No,"Wrapped in agents-auto-pilot.yml#L2197."
CHECKS.LIST_ANN,github.rest.checks.listAnnotations,Yes,Mixed,Mixed,No,"Used in keepalive_loop.js#L1555."
REACT.LIST,github.rest.reactions.listForIssueComment,Yes,Yes,Mixed,No,"Wrapped in reusable-70-orchestrator-main.yml#L791."
REACT.CREATE,github.rest.reactions.createForIssueComment,Yes,Mixed,Mixed,No,"Wrapped in reusable-70-orchestrator-main.yml#L1204; direct in agents_pr_meta_orchestrator.js#L42."
USER.ME,github.rest.users.getAuthenticated,Yes,Yes,Mixed,No,"Wrapped in reusable-70-orchestrator-init.yml#L361."
USER.BYNAME,github.rest.users.getByUsername,No,No,No,No,"Only in archived/maint-63-ensure-environments.yml#L49."
TEAM.BYNAME,github.rest.teams.getByName,No,No,No,No,"Only in archived/maint-63-ensure-environments.yml#L33."
GIT.DELETE_REF,github.rest.git.deleteRef,Yes,Yes,Mixed,No,"Wrapped in agents-73-codex-belt-conveyor.yml#L424."
GIT.LIST_MATCH,github.rest.git.listMatchingRefs,Yes,Yes,Mixed,No,"Used in agents-72-codex-belt-worker.yml#L488."
