workflow,job,github_script_count,has_setup_api_client,coverage_status,fix_status,fix_pr,fix_date,notes
agents-63-issue-intake.yml,chatgpt_sync,1,Yes,Covered,N/A,,,
agents-63-issue-intake.yml,bridge_preflight,1,Yes,Covered,N/A,,,
agents-64-verify-agent-assignment.yml,verify,1,Yes,Covered,N/A,,,
agents-71-codex-belt-dispatcher.yml,dispatch,3,Yes,Covered,N/A,,,
agents-72-codex-belt-worker.yml,bootstrap,17,Yes,Covered,N/A,,,
agents-73-codex-belt-conveyor.yml,promote,9,Yes,Covered,N/A,,,
agents-auto-label.yml,issues,3,Yes,Covered,N/A,,,
agents-auto-pilot.yml,workflow_dispatch,13,Yes,Covered,N/A,,,
agents-autofix-loop.yml,prepare,2,Yes,Covered,N/A,,,
agents-autofix-loop.yml,metrics,1,No,GAP,Pending,,,
agents-bot-comment-handler.yml,resolve,1,Yes,Covered,N/A,,,
agents-bot-comment-handler.yml,cleanup,1,No,GAP,Pending,,,
agents-capability-check.yml,issues,3,Yes,Covered,N/A,,,
agents-decompose.yml,decompose,3,Yes,Covered,N/A,,,
agents-dedup.yml,dedup,2,Yes,Covered,N/A,,,
agents-guard.yml,guard,4,Yes,Covered,N/A,,,
agents-keepalive-dispatch-handler.yml,repository_dispatch,1,Yes,Covered,N/A,,,
agents-keepalive-loop-reporter.yml,report,1,Yes,Covered,N/A,,,
agents-keepalive-loop.yml,evaluate,3,Yes,Covered,N/A,,,
agents-keepalive-loop.yml,summary,3,Yes,Covered,N/A,,,
agents-moderate-connector.yml,moderate,2,Yes,Covered,N/A,,,
agents-pr-meta-v4.yml,keepalive_dispatch,2,Yes,Covered,N/A,,,
agents-pr-meta-v4.yml,keepalive_orchestrator,1,Yes,Covered,N/A,,,
agents-pr-meta-v4.yml,gate_event_context,1,Yes,Covered,N/A,,,
agents-pr-meta-v4.yml,keepalive_from_gate,3,Yes,Covered,N/A,,,
agents-pr-meta-v4.yml,update_body,1,Yes,Covered,N/A,,,
agents-verifier.yml,check,1,Yes,Covered,N/A,,,
agents-verify-to-issue-v2.yml,pull_request_target,6,Yes,Covered,N/A,,,
agents-verify-to-new-pr.yml,pull_request_target,6,Yes,Covered,N/A,,,
agents-weekly-metrics.yml,aggregate,1,Yes,Covered,N/A,,,
reusable-10-ci-python.yml,logs_summary,1,No,GAP,Pending,,,
reusable-16-agents.yml,readiness,4,Yes,Covered,N/A,,,
reusable-16-agents.yml,preflight,1,No,GAP,Pending,,,
reusable-16-agents.yml,diagnostic,1,Yes,Covered,N/A,,,
reusable-16-agents.yml,verify_issue_summary,2,No,GAP,Pending,,,
reusable-16-agents.yml,keepalive,4,Yes,Covered,N/A,,,
reusable-18-autofix.yml,autofix,9,Yes,Covered,N/A,,,
reusable-20-pr-meta.yml,keepalive_dispatch,3,Yes,Covered,N/A,,,
reusable-20-pr-meta.yml,keepalive_orchestrator,1,No,GAP,Pending,,,
reusable-20-pr-meta.yml,keepalive_from_gate,3,No,GAP,Pending,,,
reusable-20-pr-meta.yml,pr_body_update,1,No,GAP,Pending,,,
reusable-70-orchestrator-init.yml,workflow_call,6,Yes,Covered,N/A,,,
reusable-70-orchestrator-main.yml,workflow_call,8,Yes,Covered,N/A,,,
reusable-70-orchestrator-main.yml,orchestrate,15,No,GAP,Pending,,,
reusable-agents-issue-bridge.yml,bridge,17,Yes,Covered,N/A,,,
reusable-agents-verifier.yml,verifier,4,Yes,Covered,N/A,,,
reusable-bot-comment-handler.yml,collect,3,Yes,Covered,N/A,,,
reusable-bot-comment-handler.yml,dispatch,1,No,GAP,Pending,,,
reusable-codex-run.yml,codex,4,Yes,Covered,N/A,,,
reusable-pr-context.yml,fetch,1,Yes,Covered,N/A,,,
selftest-reusable-ci.yml,workflow_dispatch,1,Yes,Covered,N/A,,,
selftest-reusable-ci.yml,summarize,1,Yes,Covered,N/A,,,
selftest-reusable-ci.yml,publish,1,Yes,Covered,N/A,,,
